lang,id,speaker_id,gender,duration_sec,sample_rate,n_words,n_chars
lin,lin_24754,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,25,136
lin,lin_24796,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,18,100
lin,lin_24732,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,16.29875,48000,37,205
lin,lin_24781,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,15.38675,48000,24,148
lin,lin_24790,FzdvGMcP1mY2v86Jh5RDAqygN1p1,Female,16.34675,48000,21,113
lin,lin_24700,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,18.69875,48000,44,247
lin,lin_24718,aBjQ2BKMCoUIeOIwENeRTCdC5vB2,Male,20.90675,48000,20,124
lin,lin_24709,ywYeqEpSB0fAQFMBPhaa0FAUXJi2,Male,20.18675,48000,32,187
lin,lin_24789,aBjQ2BKMCoUIeOIwENeRTCdC5vB2,Male,23.66675,48000,31,170
lin,lin_24762,9J0Xo69bgkhk1s5SeLdLH9UQQC22,Male,25.34675,48000,42,210
lin,lin_24724,IFY5x0PvZMdaqZZRUxa34oJVcR62,Female,29.54675,48000,73,401
lin,lin_32211,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,29,147
lin,lin_32204,FzdvGMcP1mY2v86Jh5RDAqygN1p1,Female,14.78675,48000,18,95
lin,lin_32208,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,15.26675,48000,22,116
lin,lin_32215,7QA9IolFYSQn2wQycNPqW3hgzUC3,Female,14.78675,48000,25,146
lin,lin_32267,pZ31aJ99C7ffYq9JvakJARMO4jo2,male,15.93875,48000,38,221
lin,lin_32207,XsM6resN7dTwkeiy6KJ5FRPLYk42,Male,18.38675,48000,22,113
lin,lin_32281,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,20.30675,48000,43,229
lin,lin_32274,VO87bzdtXAQ9znHN7tAq7Yx3Lu92,Male,21.09875,48000,21,113
lin,lin_32264,pZ31aJ99C7ffYq9JvakJARMO4jo2,male,27.14675,48000,71,355
lin,lin_69411,WbYquUom8beX8nlTXQRtJAdCIDz2,Female,1.01075,48000,12,65
lin,lin_69462,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,22,109
lin,lin_69441,PkdQls7DJhP0hCYgWYQZLpLX97I2,Female,15.33875,48000,19,94
lin,lin_69498,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,17.37875,48000,29,164
lin,lin_69452,VXMej8X08qbLdCcJEwpiIw0JGQr1,Male,20.06675,48000,41,228
lin,lin_69440,9J0Xo69bgkhk1s5SeLdLH9UQQC22,Male,19.65875,48000,28,174
lin,lin_69427,1QCzigweYBWBqtunTpm49It9KYx2,Male,20.06675,48000,22,122
lin,lin_69486,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,18.81875,48000,25,142
lin,lin_69473,9J0Xo69bgkhk1s5SeLdLH9UQQC22,Male,22.05875,48000,11,55
lin,lin_69402,34jJTV4jITUWLMKvugE1OGTvEVr2,Female,24.57875,48000,36,187
lin,lin_69480,BJJZeZLdZkX10jOSnFR1yUy6JVC3,Male,33.14675,48000,62,328
lin,lin_42140,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,12,69
lin,lin_42107,IFY5x0PvZMdaqZZRUxa34oJVcR62,Female,15.57875,48000,5,34
lin,lin_42108,S4RKuQBSBtUaUz9d3SxD8HkOIep2,Female,15.02675,48000,20,112
lin,lin_42192,FzdvGMcP1mY2v86Jh5RDAqygN1p1,Female,14.73875,48000,14,94
lin,lin_42182,PkdQls7DJhP0hCYgWYQZLpLX97I2,Female,15.33875,48000,28,144
lin,lin_42138,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,16.46675,48000,28,145
lin,lin_42186,S4RKuQBSBtUaUz9d3SxD8HkOIep2,Female,15.02675,48000,13,85
lin,lin_42184,S4RKuQBSBtUaUz9d3SxD8HkOIep2,Female,15.14675,48000,17,91
lin,lin_42141,MBLCohydbGXVbVl62lOnV8yqvp72,Female,17.90675,48000,27,157
lin,lin_42188,7QA9IolFYSQn2wQycNPqW3hgzUC3,Female,16.82675,48000,27,140
lin,lin_42102,asGtwyYM4tWzaVTvCEE9fx4t2Lw1,Female,19.41875,48000,7,32
lin,lin_42189,fJPVJb13g9NNh21t1hC6cGLjOHD3,Male,17.66675,48000,19,94
lin,lin_42164,cwQbBoH8csVMmnKt3cPCmZt6jC43,Male,19.10675,48000,17,85
lin,lin_42122,BJJZeZLdZkX10jOSnFR1yUy6JVC3,Male,20.73875,48000,34,180
lin,lin_42135,fJPVJb13g9NNh21t1hC6cGLjOHD3,Male,20.90675,48000,36,188
lin,lin_42144,BJJZeZLdZkX10jOSnFR1yUy6JVC3,Male,22.65875,48000,38,203
lin,lin_42120,ywYeqEpSB0fAQFMBPhaa0FAUXJi2,Male,21.98675,48000,35,211
lin,lin_42197,VO87bzdtXAQ9znHN7tAq7Yx3Lu92,Male,22.65875,48000,27,140
lin,lin_55733,RPI1veNyPLXd7e8zyIHueesuFQu2,Female,1.01075,48000,12,57
lin,lin_55798,IFY5x0PvZMdaqZZRUxa34oJVcR62,Female,15.69875,48000,48,220
lin,lin_55722,aBjQ2BKMCoUIeOIwENeRTCdC5vB2,Male,18.57875,48000,22,116
lin,lin_55787,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,17.25875,48000,36,186
lin,lin_55784,IFY5x0PvZMdaqZZRUxa34oJVcR62,Female,19.29875,48000,18,127
lin,lin_55721,9J0Xo69bgkhk1s5SeLdLH9UQQC22,Male,28.34675,48000,40,221
lin,lin_55773,FzdvGMcP1mY2v86Jh5RDAqygN1p1,Female,33.38675,48000,59,323
lin,lin_2756,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,29,139
lin,lin_2745,7QA9IolFYSQn2wQycNPqW3hgzUC3,Female,15.02675,48000,24,126
lin,lin_2755,CJmJTwFckVRm2Y5v8Z7CQhQMxYo1,Male,16.17875,48000,16,93
lin,lin_2760,JqRutZbEUEMMviepZxaaDNGMNM82,Female,15.21875,48000,20,112
lin,lin_2783,S4RKuQBSBtUaUz9d3SxD8HkOIep2,Female,16.10675,48000,15,100
lin,lin_2741,avuHt9BLfWTvuNwp3dYuRnaatFk2,Female,16.89875,48000,15,81
lin,lin_2744,XsM6resN7dTwkeiy6KJ5FRPLYk42,Male,18.62675,48000,30,161
lin,lin_2740,cwQbBoH8csVMmnKt3cPCmZt6jC43,Male,17.97875,48000,21,115
lin,lin_2772,1QCzigweYBWBqtunTpm49It9KYx2,Male,17.78675,48000,30,174
lin,lin_2797,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,17.18675,48000,34,219
lin,lin_2769,SzM4EdWymven87NrdE5JRBhNfeZ2,Female,19.82675,48000,8,45
lin,lin_2768,BJJZeZLdZkX10jOSnFR1yUy6JVC3,Male,21.21875,48000,36,171
lin,lin_2725,ywYeqEpSB0fAQFMBPhaa0FAUXJi2,Male,22.22675,48000,40,223
lin,lin_2777,96Bs7DdStfc7RF78O26y4EvOLMy2,Female,25.53875,48000,21,127
lin,lin_2743,IFY5x0PvZMdaqZZRUxa34oJVcR62,Female,29.13875,48000,69,372
lin,lin_24604,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,27,137
lin,lin_24618,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,22,144
lin,lin_24639,2OmR5Y0KJbWRWHPHJyfQuSfM34I3,Female,17.01875,48000,25,124
lin,lin_24631,DarqiyWuApQDBMNCqdm2N7gN8vX2,male,16.46675,48000,39,187
lin,lin_24663,2OmR5Y0KJbWRWHPHJyfQuSfM34I3,Female,18.45875,48000,5,29
lin,lin_24653,7QA9IolFYSQn2wQycNPqW3hgzUC3,Female,18.57875,48000,34,171
lin,lin_24698,VXMej8X08qbLdCcJEwpiIw0JGQr1,Male,19.58675,48000,37,187
lin,lin_24654,BJJZeZLdZkX10jOSnFR1yUy6JVC3,Male,21.74675,48000,38,195
lin,lin_24602,217a3u2t6BMMytJPIXYZWyAHtNE2,Female,22.10675,48000,47,233
lin,lin_24635,QgnuSHGQZ6R2ukORVIsl1tC8wlq2,male,26.13875,48000,33,166
lin,lin_24649,9J0Xo69bgkhk1s5SeLdLH9UQQC22,Male,26.90675,48000,31,189
lin,lin_24660,MBLCohydbGXVbVl62lOnV8yqvp72,Female,27.33875,48000,48,254
lin,lin_24688,34jJTV4jITUWLMKvugE1OGTvEVr2,Female,30.38675,48000,36,241
lin,lin_24646,CJmJTwFckVRm2Y5v8Z7CQhQMxYo1,Male,32.06675,48000,49,261
lin,lin_12970,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,20,109
lin,lin_12926,2vowXAOWTcQLzBOaSpQVwoccG9k1,Male,15.69875,48000,20,106
lin,lin_12923,XsM6resN7dTwkeiy6KJ5FRPLYk42,Male,17.49875,48000,31,166
lin,lin_12937,2vowXAOWTcQLzBOaSpQVwoccG9k1,Male,16.41875,48000,12,64
lin,lin_12912,VXMej8X08qbLdCcJEwpiIw0JGQr1,Male,18.81875,48000,32,188
lin,lin_12942,MBLCohydbGXVbVl62lOnV8yqvp72,Female,19.29875,48000,37,200
lin,lin_12949,VXMej8X08qbLdCcJEwpiIw0JGQr1,Male,18.98675,48000,24,143
lin,lin_12917,IFeMRoJ7Z1PDWpuTHsOyk58Cakn1,Male,20.61875,48000,36,201
lin,lin_12981,1QCzigweYBWBqtunTpm49It9KYx2,Male,19.53875,48000,47,238
lin,lin_12935,BJJZeZLdZkX10jOSnFR1yUy6JVC3,Male,22.29875,48000,12,72
lin,lin_12934,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,20.13875,48000,24,171
lin,lin_12975,cwQbBoH8csVMmnKt3cPCmZt6jC43,Male,20.42675,48000,19,115
lin,lin_12964,aBjQ2BKMCoUIeOIwENeRTCdC5vB2,Male,20.61875,48000,25,122
lin,lin_12991,217a3u2t6BMMytJPIXYZWyAHtNE2,Female,30.86675,48000,50,251
lin,lin_66321,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,25,144
lin,lin_66301,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,23,112
lin,lin_66344,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,4,30
lin,lin_66333,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,25,122
lin,lin_66312,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,15.38675,48000,26,154
lin,lin_66317,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,16.29875,48000,35,164
lin,lin_66379,1A30jGPQoQcLFzluanP2XEGjKsD3,Male,16.77875,48000,10,61
lin,lin_66332,2vowXAOWTcQLzBOaSpQVwoccG9k1,Male,15.74675,48000,25,132
lin,lin_66372,FzdvGMcP1mY2v86Jh5RDAqygN1p1,Female,16.94675,48000,23,113
